device_info_serial,date_time,latitude,longitude
2159,9/04/2016 1:30,-33.839062,121.8608923
2159,9/04/2016 1:45,-33.8386208,121.8604918
2159,9/04/2016 2:01,-33.8379848,121.8604214
2159,9/04/2016 2:16,-33.8379516,121.8602255
2159,9/04/2016 2:31,-33.8381082,121.8600589
2159,9/04/2016 2:46,-33.8379648,121.8601125
2159,9/04/2016 3:01,-33.8379196,121.860201
2159,9/04/2016 3:16,-33.8379155,121.8602908
2159,9/04/2016 3:31,-33.8378529,121.8601152
2159,9/04/2016 3:47,-33.8379516,121.8601608
2159,9/04/2016 4:02,-33.8381202,121.8599208
2159,9/04/2016 4:17,-33.8380551,121.8600548
2159,9/04/2016 4:32,-33.8399747,121.8595599
2159,9/04/2016 4:47,-33.8400338,121.8595177
2159,9/04/2016 5:02,-33.8400906,121.8577646
2159,9/04/2016 5:17,-33.8412145,121.8634556
2159,9/04/2016 5:32,-33.8413152,121.8634864
2159,9/04/2016 5:47,-33.8412333,121.8635249
2159,9/04/2016 6:02,-33.8411668,121.8596761
2159,9/04/2016 6:17,-33.8411302,121.8596498
2159,9/04/2016 6:33,-33.8410344,121.8602919
2159,9/04/2016 6:48,-33.8423554,121.8603402
2159,9/04/2016 7:03,-33.8422295,121.8608947
2159,9/04/2016 7:18,-33.8416066,121.8605753
2159,9/04/2016 7:33,-33.840664,121.8605577
2159,9/04/2016 7:49,-33.8416671,121.8604627
2159,9/04/2016 8:04,-33.8407883,121.8604043
2159,9/04/2016 8:19,-33.840636,121.8608359
2159,9/04/2016 8:35,-33.8431917,121.8571471
2159,9/04/2016 8:50,-33.8431954,121.8571845
2159,9/04/2016 9:05,-33.8406551,121.8528266
2159,9/04/2016 9:20,-33.8428012,121.8527004
2159,9/04/2016 9:35,-33.8503295,121.8579928
2159,9/04/2016 9:50,-33.8577711,121.8663533
2159,9/04/2016 10:05,-33.8578104,121.866319
2159,9/04/2016 10:20,-33.8577983,121.8663131
2159,9/04/2016 10:50,-33.8577513,121.8663156
2159,9/04/2016 11:20,-33.8578179,121.8662859
2159,9/04/2016 11:51,-33.857764,121.8663214
2159,9/04/2016 12:21,-33.8577803,121.866319
2159,9/04/2016 12:51,-33.8577505,121.8663174
2159,9/04/2016 13:21,-33.857658,121.8662822
2159,9/04/2016 13:51,-33.8577203,121.8663171
2159,9/04/2016 14:22,-33.857929,121.8666944
2159,9/04/2016 14:52,-33.8577303,121.8663049
2159,9/04/2016 15:22,-33.8576218,121.866263
2159,9/04/2016 15:52,-33.8577515,121.8663018
2159,9/04/2016 16:23,-33.8577596,121.866318
2159,9/04/2016 16:53,-33.8577414,121.8663097
2159,9/04/2016 17:24,-33.8577235,121.8662532
2159,9/04/2016 17:55,-33.8577339,121.8663038
2159,9/04/2016 18:25,-33.8576296,121.8661906
2159,9/04/2016 18:55,-33.8577144,121.8663208
2159,9/04/2016 19:25,-33.8577722,121.8663385
2159,9/04/2016 19:56,-33.8576474,121.8663507
2159,9/04/2016 20:57,-33.8577203,121.8663236
2159,9/04/2016 21:27,-33.8577614,121.8663541
2159,9/04/2016 21:42,-33.8577436,121.866358
2159,9/04/2016 21:57,-33.8574087,121.8667955
2159,9/04/2016 22:12,-33.8564447,121.8704676
2159,9/04/2016 22:27,-33.8538726,121.8695661
2159,9/04/2016 22:42,-33.8371591,121.8651658
2159,9/04/2016 22:57,-33.835105,121.8669166
2159,9/04/2016 23:12,-33.8316189,121.8647877
2159,9/04/2016 23:27,-33.8322318,121.8625846
2159,9/04/2016 23:42,-33.8345034,121.8611278
2159,9/04/2016 23:58,-33.8380964,121.8626256
2159,10/04/2016 0:13,-33.8386259,121.8638611
2159,10/04/2016 0:28,-33.8370942,121.8655025
2159,10/04/2016 0:43,-33.837038,121.8655168
2159,10/04/2016 0:58,-33.8367041,121.8661536
2159,10/04/2016 1:13,-33.8367757,121.866233
2159,10/04/2016 1:28,-33.8364588,121.8716297
2159,10/04/2016 1:43,-33.8338929,121.8774144
2159,10/04/2016 1:58,-33.8300122,121.8849898
2159,10/04/2016 2:13,-33.8310748,121.8864763
2159,10/04/2016 2:29,-33.8310065,121.8864065
2159,10/04/2016 2:44,-33.8311237,121.8864828
2159,10/04/2016 2:59,-33.8309013,121.8864651
2159,10/04/2016 3:14,-33.8313264,121.8864938
2159,10/04/2016 3:29,-33.8316032,121.8866202
2159,10/04/2016 3:44,-33.8317314,121.8865378
2159,10/04/2016 3:59,-33.831406,121.8865983
2159,10/04/2016 4:14,-33.831387,121.8865148
2159,10/04/2016 4:29,-33.831054,121.8866465
2159,10/04/2016 4:44,-33.8310723,121.8866391
2159,10/04/2016 4:59,-33.8311017,121.8866159
2159,10/04/2016 5:14,-33.8306903,121.8865727
2159,10/04/2016 5:29,-33.8308241,121.8864512
2159,10/04/2016 5:44,-33.8307779,121.8865002
2159,10/04/2016 5:59,-33.8307989,121.8864607
2159,10/04/2016 6:14,-33.8308014,121.8865339
2159,10/04/2016 6:30,-33.8308206,121.8865486
2159,10/04/2016 6:45,-33.8371879,121.8650873
2159,10/04/2016 7:00,-33.8400824,121.8609872
2159,10/04/2016 7:15,-33.8406268,121.8613164
2159,10/04/2016 7:30,-33.8404792,121.8612119
2159,10/04/2016 7:45,-33.8405496,121.8610841
2159,10/04/2016 8:00,-33.8421816,121.8631664
2159,10/04/2016 8:15,-33.8433346,121.8642334
2159,10/04/2016 8:30,-33.8469121,121.8743852
2159,10/04/2016 8:45,-33.8398696,121.8783768
2159,10/04/2016 9:00,-33.8597587,121.8667128
2159,10/04/2016 9:15,-33.8594291,121.8661994
2159,10/04/2016 9:30,-33.8609453,121.8688922
2159,10/04/2016 9:46,-33.8608594,121.8687011
2159,10/04/2016 10:01,-33.86129,121.8703182
2159,10/04/2016 10:16,-33.8613186,121.8702927
2159,10/04/2016 10:46,-33.8613131,121.8703124
2159,10/04/2016 11:16,-33.8613123,121.8702587
2159,10/04/2016 11:46,-33.8613164,121.8702543
2159,10/04/2016 12:16,-33.8613339,121.8702709
2159,10/04/2016 12:46,-33.8613693,121.8703008
2159,10/04/2016 13:17,-33.861457,121.870292
2159,10/04/2016 13:47,-33.8613408,121.8703144
2159,10/04/2016 14:17,-33.8613302,121.8702534
2159,10/04/2016 14:47,-33.8612592,121.8700439
2159,10/04/2016 15:18,-33.8613412,121.8702635
2159,10/04/2016 15:48,-33.861349,121.8702708
2159,10/04/2016 16:18,-33.8613565,121.8702417
2159,10/04/2016 16:48,-33.8612915,121.8702311
2159,10/04/2016 17:19,-33.861324,121.8703232
